Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.;Zacks_Rank;Zacks_Rating;Last_Updated
1;PSIX;Power Solutions International, Inc.;90,52;1,12%;4,99;3,87;5,00;D;B+;B-;A+;A-;NR;Not Rated;2025-07-27 12:23:16
2;PGY;Pagaya Technologies Ltd.;31,47;-2,27%;4,99;3,83;4,77;C;A+;C-;A+;A;1;Strong Buy;2025-07-27 12:23:19
3;OUST;Ouster, Inc.;26,32;-7,00%;4,98;4,40;4,33;B;C+;D+;A+;A;2;Buy;2025-07-27 12:23:22
4;ATAI;Atai Life Sciences N.V.;3,57;-4,55%;4,97;4,00;4,77;C-;B;D+;A+;A-;2;Buy;2025-07-27 12:23:25
5;AMLX;Amylyx Pharmaceuticals, Inc.;8,15;-1,81%;4,97;4,00;4,70;C+;A+;D+;A+;A-;3;Hold;2025-07-27 12:23:28
6;TSM;Taiwan Semiconductor Manufacturing Company Limited;245,6;1,66%;4,97;4,09;4,61;C+;A-;A+;B+;A;3;Hold;2025-07-27 12:23:31
7;NUTX;Nutex Health Inc.;95,02;-0,77%;4,97;4,00;4,66;A+;A+;A-;A+;B-;NR;Not Rated;2025-07-27 12:23:35
8;ISSC;Innovative Solutions and Support, Inc.;15,47;0,72%;4,96;4,00;5,00;C+;A+;D;A+;A;3;Hold;2025-07-27 12:23:37
9;TPC;Tutor Perini Corporation;47,91;-0,79%;4,96;5,00;5,00;A-;B-;C+;A+;A+;4;Sell;2025-07-27 12:23:41
10;CTRE;CareTrust REIT, Inc.;31,26;0,00%;4,96;4,00;4,66;C;A+;A-;A;A;2;Buy;2025-07-27 12:23:44
11;HRTG;Heritage Insurance Holdings, Inc.;20,58;-4,23%;4,96;4,00;4,00;A+;B+;B-;A+;A;3;Hold;2025-07-27 12:23:47
12;APP;AppLovin Corporation;364,14;1,17%;4,95;4,00;4,26;D;A;A+;A;A;3;Hold;2025-07-27 12:23:50
13;ALIZY;Allianz SE;40,21;-0,57%;4,95;3,60;4,00;A-;B;A+;A-;A+;2;Buy;2025-07-27 12:23:53
14;WLDN;Willdan Group, Inc.;82,04;-0,12%;4,95;4,00;4,50;D+;B;C;A+;A;3;Hold;2025-07-27 12:23:56
15;TTMI;TTM Technologies, Inc.;45,29;2,30%;4,94;3,50;4,75;C+;C-;D+;A+;A+;1;Strong Buy;2025-07-27 12:23:59
16;CCL;Carnival Corporation & plc;29,75;-0,10%;4,94;4,25;4,36;B-;A-;A;A;A+;1;Strong Buy;2025-07-27 12:24:02
17;STRT;Strattec Security Corporation;64,41;-1,17%;4,94;4,33;5,00;A-;A;B-;A+;A;3;Hold;2025-07-27 12:24:05
18;FTK;Flotek Industries, Inc.;12,35;-1,75%;4,94;4,00;4,25;D;A+;C-;A+;A-;3;Hold;2025-07-27 12:24:08
