Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.
1;MU;Micron Technology, Inc.;253,3;6,46%;4,99;4,04;4,41;C+;A+;A+;A+;A
2;LITE;Lumentum Holdings Inc.;259,89;8,24%;4,99;4,33;4,30;D;A+;C-;A+;A
3;IMPP;Imperial Petroleum Inc.;5,92;10,04%;4,99;4,00;4,00;A+;B-;A+;A+;A+
4;APLD;Applied Digital Corporation;31,44;1,48%;4,99;4,00;4,70;C;A+;D;A+;C+
5;HUT;Hut 8 Corp.;47,17;5,79%;4,98;3,50;4,66;B-;B;A+;A+;A-
6;COMM;CommScope Holding Company, Inc.;16,79;0,84%;4,98;4,00;4,25;A-;C+;A;A+;A-
7;ITRG;Integra Resources Corp.;3,11;12,68%;4,97;4,33;4,16;C-;A+;C-;A+;A-
8;CYD;China Yuchai International Limited;40;0,33%;4,97;4,00;4,00;B+;A;D+;A+;A+
9;EGAN;eGain Corporation;15,175;5,24%;4,97;4,00;4,00;C+;C;B;A+;A+
10;CTMX;CytomX Therapeutics, Inc.;4,19;15,75%;4,96;4,00;4,37;C;A;B;A+;B
11;HHH;Howard Hughes Holdings Inc.;89,14;11,30%;4,96;4,00;4,25;C+;A+;B+;A;A
12;IAG;IAMGOLD Corporation;13,3;4,89%;4,96;4,00;4,00;B-;A+;C-;A;A
13;DFDV;DeFi Development Corp.;8,42;0,96%;4,95;3,50;5,00;C+;A+;B;A+;A
14;TSM;Taiwan Semiconductor Manufacturing Company Limited;295,27;3,06%;4,95;4,06;4,47;D+;A-;A+;B+;A+
15;AUGO;Aura Minerals Inc.;35,89;4,67%;4,95;4,00;4,62;C+;A+;A-;A;A+
16;GH;Guardant Health, Inc.;97,92;1,24%;4,95;3,66;4,65;B-;C+;C+;A+;B+
17;BAC;Bank of America Corporation;53,42;0,41%;4,95;3,50;4,36;D+;B;A+;A-;B
18;SSRM;SSR Mining Inc.;20,82;4,41%;4,95;3,75;3,50;A-;A+;B-;A+;B+
19;NEM;Newmont Corporation;88,26;5,84%;4,94;4,09;4,28;B-;A-;A+;B+;A
