Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.;Zacks_Rank;Zacks_Rating;TipRanks_Score;TipRanks_Rating;Barchart_Rating;Last_Updated
1;NUTX;Nutex Health Inc.;113,81;2,74%;4,97;4,00;4,66;A+;A+;A-;A+;B-;NR;Not Rated;9;Outperform;Strong Buy;2025-08-15 16:56:08
2;HRTG;Heritage Insurance Holdings, Inc.;21,5;-0,19%;4,95;4,00;4,00;A+;B+;B-;A+;A+;1;Strong Buy;9;Outperform;Strong Buy;2025-08-15 16:56:28
3;ALIZY;Allianz SE;39,93;-0,35%;4,95;3,60;4,00;A-;B;A+;B+;A;2;Buy;N/A;Foreign/OTC;Buy;2025-08-15 16:56:37
4;FINV;FinVolution Group;9,84;-2,86%;4,95;4,66;5,00;A+;B;B+;A+;A+;NR;Not Rated;9;Outperform;Buy;2025-08-15 16:56:51
5;CCL;Carnival Corporation & plc;29,55;0,34%;4,94;4,10;4,34;B-;B-;A;A;A+;1;Strong Buy;10;Outperform;Buy;2025-08-15 16:57:04
6;ICAGY;International Consolidated Airlines Group S.A.;10,135;-1,12%;4,94;3,50;5,00;A;A-;A+;A+;A;1;Strong Buy;N/A;Foreign/OTC;Buy;2025-08-15 16:57:17
7;BTG;B2Gold Corp.;3,33;-2,35%;4,93;3,85;3,75;A+;A;B-;B-;A;3;Hold;8;Outperform;Buy;2025-08-15 16:57:31
8;STRT;Strattec Security Corporation;60,32;-1,84%;4,92;4,33;5,00;A;A;B-;A+;A+;3;Hold;8;Outperform;Hold;2025-08-15 16:57:47
9;AU;AngloGold Ashanti plc;47,66;1,30%;4,91;3,50;3,57;A-;A+;A;A-;A;3;Hold;4;Neutral;Buy;2025-08-15 16:58:00
10;MFG;Mizuho Financial Group, Inc.;5,56;-0,71%;4,90;4,00;4,00;A+;A;A+;B+;A-;2;Buy;8;Outperform;Buy;2025-08-15 16:58:13
11;KB;KB Financial Group Inc.;81,69;-1,27%;4,89;3,50;5,00;B;B+;A+;A+;A;2;Buy;3;Neutral;Buy;2025-08-15 16:58:26
12;POET;POET Technologies Inc.;6,27;-2,64%;4,89;4,50;5,00;B+;A;A+;A-;A-;N/A;N/A;5;Neutral;Strong Buy;2025-08-15 16:58:41
13;BCS;Barclays PLC;18,88;-0,68%;4,88;3,75;4,00;B;A;A+;A+;A-;3;Hold;10;Outperform;Buy;2025-08-15 16:58:53
14;VCISY;Vinci SA;36,2;-0,11%;4,87;3,50;5,00;A;B+;A+;B+;A+;2;Buy;N/A;Foreign/OTC;Buy;2025-08-15 16:59:02
15;TAK;Takeda Pharmaceutical Company Limited;14,43;-2,10%;4,86;3,66;4,50;A+;A+;A+;B-;A-;4;Sell;6;Neutral;Buy;2025-08-15 16:59:15
16;KD;Kyndryl Holdings, Inc.;39,47;0,79%;4,84;4,33;4,50;A+;A;B+;B+;A+;3;Hold;8;Outperform;Sell;2025-08-15 16:59:28
